waiting for BENCHMARK.lock from 2026-09-12T15:30:38Z
lock acquired at 2026-09-12T15:30:38Z tree ada67cec tmpdir on the root drive
[INFO] Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 115.3 s -- in ai.pipestream.quic.SealedJobsTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in ai.pipestream.quic.SealedProducerInputsTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.841 s -- in ai.pipestream.quic.SealedProducerJournalTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.388 s -- in ai.pipestream.quic.SealedReconciliationTest
[INFO] Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 30.52 s -- in ai.pipestream.quic.SealedServerTest
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 24.88 s -- in ai.pipestream.quic.SealedSessionStoreTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.649 s -- in ai.pipestream.quic.SealedSqliteFilesTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.826 s -- in ai.pipestream.quic.SealedSqliteImagesTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in ai.pipestream.quic.SealedTransportTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in ai.pipestream.quic.SealedWorkTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.027 s -- in ai.pipestream.quic.WireTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.280 s -- in ai.pipestream.quic.v2.AdmissionCapacityTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.448 s -- in ai.pipestream.quic.v2.AdmissionPolicyTest
