waiting for BENCHMARK.lock from 2026-09-12T21:34:02Z
lock acquired at 2026-09-12T21:46:57Z tree 73dcc79c tmpdir on the root drive
[INFO] Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 115.8 s -- in ai.pipestream.quic.SealedJobsTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in ai.pipestream.quic.SealedProducerInputsTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.925 s -- in ai.pipestream.quic.SealedProducerJournalTest
[INFO] Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.462 s -- in ai.pipestream.quic.SealedReconciliationTest
[INFO] Tests run: 25, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 29.22 s -- in ai.pipestream.quic.SealedServerTest
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 25.06 s -- in ai.pipestream.quic.SealedSessionStoreTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 10.04 s -- in ai.pipestream.quic.SealedSqliteFilesTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.826 s -- in ai.pipestream.quic.SealedSqliteImagesTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in ai.pipestream.quic.SealedTransportTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in ai.pipestream.quic.SealedWorkTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.037 s -- in ai.pipestream.quic.WireTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.288 s -- in ai.pipestream.quic.v2.AdmissionCapacityTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.441 s -- in ai.pipestream.quic.v2.AdmissionPolicyTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.992 s -- in ai.pipestream.quic.v2.AdmissionStoreRecoveryTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.056 s -- in ai.pipestream.quic.v2.AdmissionStoreTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.749 s -- in ai.pipestream.quic.v2.AuthorityExpansionRuntimeFailureTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.482 s -- in ai.pipestream.quic.v2.AuthorityExpansionRuntimeTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.803 s -- in ai.pipestream.quic.v2.AuthorityExpansionSchedulingTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.889 s -- in ai.pipestream.quic.v2.AuthorityRuleClientTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.966 s -- in ai.pipestream.quic.v2.AuthorizationClockRecoveryTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.428 s -- in ai.pipestream.quic.v2.BranchExecutionCapacityTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.637 s -- in ai.pipestream.quic.v2.BranchExecutionRecoveryTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.683 s -- in ai.pipestream.quic.v2.BranchExecutionTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.971 s -- in ai.pipestream.quic.v2.BranchSchedulerTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.214 s -- in ai.pipestream.quic.v2.CancellationReconciliationTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in ai.pipestream.quic.v2.CapabilityListBoundsTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.678 s -- in ai.pipestream.quic.v2.CheckpointObservationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.672 s -- in ai.pipestream.quic.v2.ClientControlTimeoutOptionTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.716 s -- in ai.pipestream.quic.v2.ClientJournalFaultTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.054 s -- in ai.pipestream.quic.v2.ClientRecoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.156 s -- in ai.pipestream.quic.v2.ClosureReconciliationCapacityTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.605 s -- in ai.pipestream.quic.v2.ClosureReconciliationRecoveryTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.873 s -- in ai.pipestream.quic.v2.ClosureReconciliationTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.904 s -- in ai.pipestream.quic.v2.CompletedSessionObservationTest
