start 2026-09-13T19:32:11Z tree af4cef6d tests=DurableWireNegativeTest,SessionLogGrowthTest,PeerRuleWireTest,DurableAuthorizationTest,ExecutionRuntimeResourceTest,FundingScaleTest,ExecutionRuntimeTest,ResultStoreTest,FenceStoreTest,OutputRetentionStoreRecoveryTest,RetentionServiceTest,RetryStoreFailureTest,DeclarationStoreTest,DurableLifecycleTest,ExpansionTransitionTest,ExecutionSchedulerTest,ClosureReconciliationTest,OutputStoreReclaimRecoveryTest,SessionRetirementTest,ClosureReconciliationRecoveryTest,ExecutionStoreRecoveryTest,InputInstallReclaimRaceTest,OrphanStoreRecoveryTest,CancellationReconciliationTest,ClosureReconciliationCapacityTest,SessionStoreTest,ClientRecoveryTest,RetirementIntegrityTest,PublicationStoreTest,ExecutionDiscoveryTest,ClientControlTimeoutOptionTest,BranchExecutionRecoveryTest,AuthorityExpansionRuntimeTest,ControlWaitServiceTest,ExecutionClosureTest,OutputRetentionGeometryTest,InputStoreTest,AdmissionStoreRecoveryTest,OutputRetentionDependencyTest,AuthorizationClockRecoveryTest,StoreBindingRecoveryTest,AuthorityRuleClientTest,OrphanScanTest,ClientJournalFaultTest,ExecutionSchedulerRecoveryTest,CheckpointObservationTest,ExecutionStorePolicyTest,ExecutionStoreCapacityTest,ProducedInputOrphanRaceTest,InputStoreRecoverySyncTest,OutputStoreResourceTest,InputStoreResourceTest,V2CommitmentsTest,DurableClientContradictionTest,InputStoreReaderPinsTest,InputReceiverCreditTest,InputStoreFundingTest,V2MainStorageFundingTest,InputStoreRecoveryTest,V2WireTest,SchemaBoundsAndRegistryTest,RetirementRecordTest,RefusalCodeRegistryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.172 s -- in ai.pipestream.quic.v2.AdmissionStoreRecoveryTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.858 s -- in ai.pipestream.quic.v2.AuthorityExpansionRuntimeTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.098 s -- in ai.pipestream.quic.v2.AuthorityRuleClientTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.995 s -- in ai.pipestream.quic.v2.AuthorizationClockRecoveryTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.614 s -- in ai.pipestream.quic.v2.BranchExecutionRecoveryTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.115 s -- in ai.pipestream.quic.v2.CancellationReconciliationTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.575 s -- in ai.pipestream.quic.v2.CheckpointObservationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.665 s -- in ai.pipestream.quic.v2.ClientControlTimeoutOptionTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.751 s -- in ai.pipestream.quic.v2.ClientJournalFaultTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.949 s -- in ai.pipestream.quic.v2.ClientRecoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.203 s -- in ai.pipestream.quic.v2.ClosureReconciliationCapacityTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.664 s -- in ai.pipestream.quic.v2.ClosureReconciliationRecoveryTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.879 s -- in ai.pipestream.quic.v2.ClosureReconciliationTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.450 s -- in ai.pipestream.quic.v2.ControlWaitServiceTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.473 s -- in ai.pipestream.quic.v2.DeclarationStoreTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 11.15 s -- in ai.pipestream.quic.v2.DurableAuthorizationTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.365 s -- in ai.pipestream.quic.v2.DurableClientContradictionTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.407 s -- in ai.pipestream.quic.v2.DurableLifecycleTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 41.72 s -- in ai.pipestream.quic.v2.DurableWireNegativeTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.847 s -- in ai.pipestream.quic.v2.ExecutionClosureTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.069 s -- in ai.pipestream.quic.v2.ExecutionDiscoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.890 s -- in ai.pipestream.quic.v2.ExecutionRuntimeResourceTest
[INFO] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.511 s -- in ai.pipestream.quic.v2.ExecutionRuntimeTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.742 s -- in ai.pipestream.quic.v2.ExecutionSchedulerRecoveryTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.041 s -- in ai.pipestream.quic.v2.ExecutionSchedulerTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.517 s -- in ai.pipestream.quic.v2.ExecutionStoreCapacityTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.535 s -- in ai.pipestream.quic.v2.ExecutionStorePolicyTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.469 s -- in ai.pipestream.quic.v2.ExecutionStoreRecoveryTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.081 s -- in ai.pipestream.quic.v2.ExpansionTransitionTest
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.248 s -- in ai.pipestream.quic.v2.FenceStoreTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.010 s -- in ai.pipestream.quic.v2.FundingScaleTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.332 s -- in ai.pipestream.quic.v2.InputInstallReclaimRaceTest
[INFO] Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.044 s -- in ai.pipestream.quic.v2.InputStoreTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.263 s -- in ai.pipestream.quic.v2.InputReceiverCreditTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.206 s -- in ai.pipestream.quic.v2.InputStoreFundingTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.299 s -- in ai.pipestream.quic.v2.InputStoreReaderPinsTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.475 s -- in ai.pipestream.quic.v2.InputStoreRecoverySyncTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.124 s -- in ai.pipestream.quic.v2.InputStoreRecoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.395 s -- in ai.pipestream.quic.v2.InputStoreResourceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.765 s -- in ai.pipestream.quic.v2.OrphanScanTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.419 s -- in ai.pipestream.quic.v2.OrphanStoreRecoveryTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.208 s -- in ai.pipestream.quic.v2.OutputRetentionDependencyTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.219 s -- in ai.pipestream.quic.v2.OutputRetentionGeometryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.335 s -- in ai.pipestream.quic.v2.OutputRetentionStoreRecoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.878 s -- in ai.pipestream.quic.v2.OutputStoreReclaimRecoveryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.441 s -- in ai.pipestream.quic.v2.OutputStoreResourceTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 17.87 s -- in ai.pipestream.quic.v2.PeerRuleWireTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.598 s -- in ai.pipestream.quic.v2.ProducedInputOrphanRaceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.396 s -- in ai.pipestream.quic.v2.PublicationStoreTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in ai.pipestream.quic.v2.RefusalCodeRegistryTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 6.299 s -- in ai.pipestream.quic.v2.ResultStoreTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.876 s -- in ai.pipestream.quic.v2.RetentionServiceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.376 s -- in ai.pipestream.quic.v2.RetirementIntegrityTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in ai.pipestream.quic.v2.RetirementRecordTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.780 s -- in ai.pipestream.quic.v2.RetryStoreFailureTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in ai.pipestream.quic.v2.SchemaBoundsAndRegistryTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 28.53 s -- in ai.pipestream.quic.v2.SessionLogGrowthTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.908 s -- in ai.pipestream.quic.v2.SessionRetirementTest
[INFO] Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.371 s -- in ai.pipestream.quic.v2.SessionStoreTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.937 s -- in ai.pipestream.quic.v2.StoreBindingRecoveryTest
[INFO] Tests run: 17, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.406 s -- in ai.pipestream.quic.v2.V2CommitmentsTest
