server_subject	java
client_subject	rust
iteration_1_pre_fence_delay_ms	0
iteration_1_winning_order	fence
iteration_1_parent_final_state	7 (CANCELLED)
iteration_1_parent_cancelling_observed	false
iteration_1_child_scope	1:1
iteration_1_children_succeeded	0
iteration_1_children_cancelled	128
iteration_1_children_other	0
iteration_2_pre_fence_delay_ms	2
iteration_2_winning_order	fence
iteration_2_parent_final_state	7 (CANCELLED)
iteration_2_parent_cancelling_observed	false
iteration_2_child_scope	1:1
iteration_2_children_succeeded	0
iteration_2_children_cancelled	128
iteration_2_children_other	0
iteration_3_pre_fence_delay_ms	10
iteration_3_winning_order	fence
iteration_3_parent_final_state	7 (CANCELLED)
iteration_3_parent_cancelling_observed	false
iteration_3_child_scope	1:1
iteration_3_children_succeeded	0
iteration_3_children_cancelled	128
iteration_3_children_other	0
orders_observed	publication:0,fence:3
never_observed	parent FAILED(6); descendant FAILED; unsettled descendant at the deadline
java_jar_sha256	ff537a609119534db8caca50d2828a4d421b8b0997ca04896883fff9cc60375b
