server_subject	java
client_subject	rust
alpn	pipestream/2
child_scope	1:0
parent_state_children_open	3
child_checkpoint_open	authority refusal NOT_READY: refused
complete_open	NOT_READY: root coverage not recorded
root_checkpoint_open	authority refusal WAIT_TIMEOUT: refused
child_scope_replacement	authority refusal CONFLICT: refused
parent_state_one_child_terminal	3
output_sha256	9e1572ca5d5b092815ebf83c1ef53831065d73e5a29268f6bb7711c2553c6ba0
output_matches_input	true
child_page	producer=0 declared=2 members SUCCEEDED,SUCCEEDED
child_seal_matches_oracle	true
settlement	child COVERAGE, root COVERAGE, COMPLETED
post_settlement_output	VERIFIED byte-exact
leaf_children	named gap: neither CLI expresses attaching children to an existing leaf; children attach only via branch admission
java_jar_sha256	9b23a14c36e3f33bc9fae1b12d0835441ba6d52aba14393ed4ae3f7e309e08c9
