round	op	latency_ms
1	next-sequence	100
1	declare	125
1	admit	125
1	lookup	100
1	page	100
2	next-sequence	100
2	declare	100
2	admit	100
2	lookup	100
2	page	100
3	next-sequence	100
3	declare	101
3	admit	125
3	lookup	100
3	page	100
4	next-sequence	101
4	declare	125
4	admit	100
4	lookup	100
4	page	100
5	next-sequence	100
5	declare	100
5	admit	125
5	lookup	100
5	page	100
6	next-sequence	100
6	declare	125
6	admit	100
6	lookup	100
6	page	100
7	next-sequence	100
7	declare	100
7	admit	100
7	lookup	100
7	page	100
8	next-sequence	100
8	declare	100
8	admit	100
8	lookup	100
8	page	100
9	next-sequence	100
9	declare	100
9	admit	100
9	lookup	100
9	page	100
10	next-sequence	100
10	declare	100
10	admit	100
10	lookup	100
10	page	100
11	next-sequence	100
11	declare	100
11	admit	125
11	lookup	100
11	page	100
12	next-sequence	100
12	declare	100
12	admit	125
12	lookup	100
12	page	100
13	next-sequence	100
13	declare	100
13	admit	100
13	lookup	100
13	page	100
14	next-sequence	100
14	declare	100
14	admit	125
14	lookup	100
14	page	100
15	next-sequence	100
15	declare	100
15	admit	100
15	lookup	100
15	page	100
16	next-sequence	100
16	declare	100
16	admit	125
16	lookup	100
16	page	100
17	next-sequence	100
17	declare	100
17	admit	125
17	lookup	100
17	page	100
18	next-sequence	100
18	declare	125
18	admit	125
18	lookup	100
18	page	100
19	next-sequence	101
19	declare	100
19	admit	100
19	lookup	100
19	page	100
20	next-sequence	100
20	declare	100
20	admit	125
20	lookup	100
20	page	100
21	next-sequence	100
21	declare	100
21	admit	125
21	lookup	100
21	page	100
22	next-sequence	100
22	declare	100
22	admit	125
22	lookup	100
22	page	100
23	next-sequence	100
23	declare	100
23	admit	125
23	lookup	100
23	page	100
24	next-sequence	100
24	declare	100
24	admit	100
24	lookup	100
24	page	100
25	next-sequence	100
25	declare	125
25	admit	125
25	lookup	100
25	page	100
26	next-sequence	100
26	declare	125
26	admit	125
26	lookup	100
26	page	100
27	next-sequence	100
27	declare	100
27	admit	125
27	lookup	100
27	page	100
28	next-sequence	100
28	declare	125
28	admit	125
28	lookup	100
28	page	100
29	next-sequence	101
29	declare	100
29	admit	125
29	lookup	100
29	page	100
30	next-sequence	100
30	declare	125
30	admit	125
30	lookup	100
30	page	100
31	next-sequence	100
31	declare	125
31	admit	125
31	lookup	100
31	page	100
32	next-sequence	100
32	declare	101
32	admit	125
32	lookup	100
32	page	100
33	next-sequence	100
33	declare	125
33	admit	125
33	lookup	100
33	page	100
34	next-sequence	100
34	declare	125
34	admit	126
34	lookup	100
34	page	125
35	next-sequence	100
35	declare	125
35	admit	125
35	lookup	100
35	page	125
36	next-sequence	100
36	declare	125
36	admit	125
36	lookup	100
36	page	100
37	next-sequence	100
37	declare	125
37	admit	125
37	lookup	100
37	page	100
38	next-sequence	101
38	declare	125
38	admit	125
38	lookup	100
38	page	100
