round	op	latency_ms
1	next-sequence	100
1	declare	175
1	admit	200
1	lookup	100
1	page	125
2	next-sequence	100
2	declare	150
2	admit	200
2	lookup	125
2	page	125
3	next-sequence	100
3	declare	150
3	admit	200
3	lookup	100
3	page	125
4	next-sequence	100
4	declare	150
4	admit	200
4	lookup	125
4	page	125
5	next-sequence	100
5	declare	150
5	admit	200
5	lookup	100
5	page	125
6	next-sequence	100
6	declare	150
6	admit	200
6	lookup	100
6	page	125
7	next-sequence	100
7	declare	150
7	admit	200
7	lookup	150
7	page	125
8	next-sequence	100
8	declare	150
8	admit	250
8	lookup	125
8	page	150
9	next-sequence	100
9	declare	150
9	admit	225
9	lookup	100
9	page	125
10	next-sequence	100
10	declare	150
10	admit	200
10	lookup	100
10	page	125
11	next-sequence	100
11	declare	150
11	admit	200
11	lookup	125
11	page	125
12	next-sequence	100
12	declare	150
12	admit	225
12	lookup	125
12	page	125
13	next-sequence	100
13	declare	150
13	admit	200
13	lookup	125
13	page	125
14	next-sequence	100
14	declare	150
14	admit	200
14	lookup	100
14	page	125
15	next-sequence	101
15	declare	150
15	admit	200
15	lookup	100
15	page	125
16	next-sequence	100
16	declare	150
16	admit	200
16	lookup	100
16	page	125
17	next-sequence	100
17	declare	150
17	admit	200
17	lookup	100
17	page	125
18	next-sequence	100
18	declare	150
18	admit	200
18	lookup	100
18	page	125
19	next-sequence	100
19	declare	150
19	admit	200
19	lookup	100
19	page	125
20	next-sequence	100
20	declare	150
20	admit	225
20	lookup	100
20	page	125
21	next-sequence	100
21	declare	150
21	admit	200
21	lookup	125
21	page	125
22	next-sequence	100
22	declare	150
22	admit	200
22	lookup	100
22	page	125
23	next-sequence	100
23	declare	175
23	admit	200
23	lookup	100
23	page	125
24	next-sequence	100
24	declare	150
24	admit	200
24	lookup	100
24	page	125
25	next-sequence	100
25	declare	150
25	admit	225
25	lookup	125
25	page	150
26	next-sequence	100
26	declare	150
26	admit	225
26	lookup	125
26	page	150
27	next-sequence	100
27	declare	150
27	admit	225
27	lookup	125
27	page	150
28	next-sequence	100
28	declare	225
28	admit	250
28	lookup	125
28	page	150
29	next-sequence	100
29	declare	150
29	admit	200
29	lookup	100
29	page	125
30	next-sequence	100
30	declare	150
30	admit	200
30	lookup	100
30	page	125
31	next-sequence	100
31	declare	150
31	admit	200
31	lookup	100
31	page	125
32	next-sequence	100
32	declare	150
32	admit	250
32	lookup	125
32	page	150
33	next-sequence	100
33	declare	150
33	admit	200
33	lookup	100
33	page	125
34	next-sequence	100
34	declare	150
34	admit	200
34	lookup	100
34	page	125
35	next-sequence	100
35	declare	150
35	admit	200
35	lookup	125
35	page	150
36	next-sequence	100
36	declare	150
36	admit	225
36	lookup	150
36	page	125
37	next-sequence	100
37	declare	150
37	admit	200
37	lookup	125
37	page	125
38	next-sequence	100
38	declare	150
38	admit	225
38	lookup	125
38	page	150
