round	op	latency_ms
1	next-sequence	100
1	declare	225
1	admit	200
1	lookup	125
1	page	125
2	next-sequence	100
2	declare	150
2	admit	225
2	lookup	125
2	page	125
3	next-sequence	100
3	declare	175
3	admit	250
3	lookup	100
3	page	125
4	next-sequence	100
4	declare	150
4	admit	200
4	lookup	125
4	page	125
5	next-sequence	125
5	declare	150
5	admit	225
5	lookup	100
5	page	125
6	next-sequence	100
6	declare	150
6	admit	200
6	lookup	150
6	page	150
7	next-sequence	100
7	declare	150
7	admit	200
7	lookup	125
7	page	125
8	next-sequence	100
8	declare	150
8	admit	200
8	lookup	100
8	page	125
9	next-sequence	100
9	declare	150
9	admit	200
9	lookup	125
9	page	125
10	next-sequence	100
10	declare	150
10	admit	200
10	lookup	100
10	page	125
11	next-sequence	100
11	declare	150
11	admit	200
11	lookup	125
11	page	125
12	next-sequence	100
12	declare	175
12	admit	200
12	lookup	125
12	page	125
13	next-sequence	100
13	declare	150
13	admit	200
13	lookup	100
13	page	150
14	next-sequence	100
14	declare	200
14	admit	250
14	lookup	125
14	page	150
15	next-sequence	100
15	declare	175
15	admit	225
15	lookup	125
15	page	125
16	next-sequence	100
16	declare	175
16	admit	250
16	lookup	125
16	page	125
17	next-sequence	100
17	declare	150
17	admit	200
17	lookup	100
17	page	125
18	next-sequence	100
18	declare	175
18	admit	200
18	lookup	100
18	page	150
19	next-sequence	100
19	declare	150
19	admit	200
19	lookup	100
19	page	125
20	next-sequence	100
20	declare	150
20	admit	200
20	lookup	125
20	page	125
21	next-sequence	100
21	declare	150
21	admit	250
21	lookup	125
21	page	125
22	next-sequence	100
22	declare	150
22	admit	200
22	lookup	125
22	page	125
23	next-sequence	100
23	declare	175
23	admit	250
23	lookup	125
23	page	150
24	next-sequence	100
24	declare	150
24	admit	200
24	lookup	100
24	page	125
25	next-sequence	100
25	declare	150
25	admit	226
25	lookup	125
25	page	125
26	next-sequence	100
26	declare	150
26	admit	200
26	lookup	100
26	page	125
27	next-sequence	100
27	declare	150
27	admit	225
27	lookup	125
27	page	125
28	next-sequence	100
28	declare	150
28	admit	200
28	lookup	125
28	page	125
29	next-sequence	100
29	declare	150
29	admit	200
29	lookup	125
29	page	125
30	next-sequence	100
30	declare	150
30	admit	200
30	lookup	125
30	page	125
31	next-sequence	100
31	declare	150
31	admit	300
31	lookup	125
31	page	150
32	next-sequence	100
32	declare	150
32	admit	200
32	lookup	125
32	page	150
33	next-sequence	100
33	declare	150
33	admit	200
33	lookup	125
33	page	150
34	next-sequence	100
34	declare	175
34	admit	200
34	lookup	125
34	page	125
35	next-sequence	100
35	declare	175
35	admit	225
35	lookup	100
35	page	150
36	next-sequence	100
36	declare	150
36	admit	200
36	lookup	125
36	page	150
37	next-sequence	100
37	declare	150
37	admit	225
37	lookup	125
37	page	125
38	next-sequence	100
38	declare	175
38	admit	325
38	lookup	125
38	page	150
