checkpoint	elapsed_ms	udp_tx_bytes	udp_rx_bytes	sent_packets	lost_packets	rx_max_data	rx_max_stream_data	rx_max_streams_uni	rx_stop_sending	tx_data_blocked	tx_stream_data_blocked	tx_streams_blocked_uni	tx_stream
session-established	0	8507	7357	17	0	0	0	0	0	0	0	0	2
header-written	18	8574	7456	18	0	0	0	0	0	0	0	0	3
payload-write-returned	109	17219886	147984	13326	0	340	2040	0	0	0	0	0	12290
transport-completion	186	17220168	148348	13334	0	341	2048	1	0	0	0	0	12291
admission-receipt	208	17220168	148504	13334	0	341	2048	1	0	0	0	0	12291
before-refusals	212	17220168	148504	13334	0	341	2048	1	0	0	0	0	12291
refusals-read	213	17220774	148970	13338	0	341	2048	1	4	0	0	0	12295
credit-released	8341	17220893	149038	13341	0	341	2048	2	4	0	0	0	12295
credit-reused	8341	17220893	149038	13341	0	341	2048	2	4	0	0	0	12295
end	8351	17220959	149132	13343	0	341	2048	3	4	0	0	0	12296
