round	op	latency_ms
1	next-sequence	100
1	declare	250
1	admit	225
1	lookup	125
1	page	150
2	next-sequence	100
2	declare	200
2	admit	225
2	lookup	125
2	page	125
3	next-sequence	100
3	declare	200
3	admit	225
3	lookup	100
3	page	125
4	next-sequence	100
4	declare	200
4	admit	225
4	lookup	125
4	page	150
5	next-sequence	100
5	declare	200
5	admit	225
5	lookup	125
5	page	150
6	next-sequence	100
6	declare	200
6	admit	250
6	lookup	150
6	page	150
7	next-sequence	100
7	declare	200
7	admit	225
7	lookup	150
7	page	150
8	next-sequence	100
8	declare	200
8	admit	250
8	lookup	125
8	page	150
9	next-sequence	100
9	declare	200
9	admit	225
9	lookup	150
9	page	150
10	next-sequence	100
10	declare	200
10	admit	225
10	lookup	125
10	page	125
11	next-sequence	100
11	declare	200
11	admit	225
11	lookup	125
11	page	150
12	next-sequence	100
12	declare	200
12	admit	225
12	lookup	150
12	page	150
13	next-sequence	100
13	declare	225
13	admit	225
13	lookup	125
13	page	150
14	next-sequence	100
14	declare	200
14	admit	250
14	lookup	150
14	page	125
15	next-sequence	100
15	declare	175
15	admit	200
15	lookup	125
15	page	125
16	next-sequence	100
16	declare	150
16	admit	200
16	lookup	125
16	page	125
17	next-sequence	100
17	declare	175
17	admit	200
17	lookup	100
17	page	125
18	next-sequence	100
18	declare	175
18	admit	200
18	lookup	125
18	page	125
19	next-sequence	100
19	declare	175
19	admit	200
19	lookup	125
19	page	150
20	next-sequence	100
20	declare	175
20	admit	200
20	lookup	125
20	page	125
21	next-sequence	100
21	declare	175
21	admit	200
21	lookup	125
21	page	125
22	next-sequence	100
22	declare	175
22	admit	200
22	lookup	125
22	page	125
23	next-sequence	100
23	declare	175
23	admit	200
23	lookup	100
23	page	125
